src_port,dst_port,protocol,app_service,flow_duration,src_bytes,dst_bytes,connection_state,missed_data,tcp_flags,src_packets,src_ip_bytes,dst_packets,dst_ip_bytes,label
42862,22,0,0,0.6438632527533825,5296,408,3,23,1,,188,13,289,0
12892,443,0,0,,7188,2487,2,353,0,1,62,23,536,0
58216,110,2,1,,2401,172,1,492,1,23,958,,1479,0
45242,21,0,3,2.5098755645370914,164,1605,2,267,0,32,806,29,358,0
62539,110,1,4,0.5130324263926233,,3049,2,269,3,2,296,43,373,0
62074,110,0,3,3.188857232694411,5181,1725,1,349,2,5,955,5,854,0
42718,110,0,2,2.842657753687745,596,4039,2,381,1,26,620,20,1494,0
10451,22,2,3,0.9293504201815783,8272,7802,0,275,2,12,296,39,299,0
61368,21,2,5,1.3648518283931221,8625,4077,0,423,2,10,841,5,459,0
45655,110,2,3,0.7496765386559289,5388,9345,3,164,3,36,643,18,709,0
36537,25,0,3,1.232798975632717,1320,9260,3,303,5,20,625,13,223,0
11447,25,2,5,0.2297483065572421,852,,4,214,2,36,108,45,1272,0
64289,443,1,0,2.035640319551835,2313,9723,3,235,5,25,664,21,75,0
32505,22,1,3,0.26395404550968204,1772,8035,1,239,2,26,684,,1010,0
53094,22,1,1,0.8704741482673878,5011,615,1,109,1,49,1384,4,1290,0
33605,443,1,6,1.5168611122757283,,3722,5,31,3,16,1378,5,1497,0
48967,443,0,1,0.7823402442955588,3362,2225,0,401,3,17,262,,1014,0
8203,443,1,6,1.3225819152289453,161,8346,1,318,1,27,1202,20,440,0
22353,25,1,1,0.566826588517125,,9397,4,143,2,1,990,,870,0
25967,80,2,1,1.6337836381730897,635,2985,3,146,5,38,830,,401,0
4860,443,2,3,1.1710466415864635,9505,828,4,182,1,39,1419,38,1459,0
30066,22,1,2,,1738,9793,4,449,0,26,725,9,1137,1
13516,53,2,4,0.07918805397830742,8834,702,4,295,4,37,562,19,815,0
40154,53,1,2,0.3834726274900875,3426,5107,2,288,4,44,1019,17,1239,0
43040,110,2,1,1.177247775550623,2279,6781,2,282,0,34,278,10,755,0
27426,53,1,1,0.3182152177230826,6075,4447,1,164,2,9,324,47,552,0
28546,25,2,0,1.4668660322234472,1585,2994,2,100,2,35,1099,42,1122,0
14377,21,1,2,,6038,6458,1,69,3,24,1290,,578,0
48368,53,2,5,0.017986731835658576,1108,9121,3,129,1,17,1100,36,637,0
55376,25,0,6,3.1996124650415383,4318,1449,2,458,1,38,1413,,326,0
18264,110,0,6,0.47632263334467373,2348,5616,0,207,5,32,878,44,1242,0
8000,25,1,1,0.18787840203452055,8235,121,5,147,3,3,1488,33,1459,0
37478,21,2,5,0.06752580203668068,,2856,5,430,1,1,1139,1,1424,1
25805,21,0,1,5.429061628213821,6685,4007,5,167,4,6,476,18,1310,0
40781,25,0,3,0.4084451669761371,3819,4667,5,36,1,25,725,2,368,0
15813,110,2,5,1.0190713584383808,,4445,4,153,3,29,1489,25,698,0
2146,80,1,2,2.7773313424300894,7596,8777,4,22,3,21,820,49,1277,0
42428,110,0,3,0.3616091551697489,6231,7781,0,93,3,22,643,46,416,0
50496,53,1,1,1.782059841409315,94,564,4,225,4,13,158,34,471,0
15082,22,1,1,3.7687367599311994,6966,3548,2,185,5,4,133,26,819,1
26748,443,0,4,0.21007388152726714,8410,2963,5,68,3,34,768,,375,0
22225,53,0,4,3.9580258491758276,4640,2456,1,355,1,,359,26,920,0
9674,443,1,0,1.7186444714362112,2804,5268,0,63,4,16,1143,46,857,0
3352,80,1,1,0.8384884572750245,9509,7594,5,171,2,43,1471,2,764,0
15425,110,2,0,1.1893200363497416,787,7682,5,238,4,6,1489,48,977,1
61500,53,2,2,0.22381217831804667,2494,,3,8,2,1,419,30,209,0
53701,443,2,4,0.5571123786593849,898,3765,4,468,2,34,408,27,797,1
25856,22,1,0,5.58646202856164,1076,1835,5,268,4,43,244,32,671,0
42283,25,2,4,0.1903244548770191,2521,6362,0,448,1,24,1460,,1241,0
41503,22,1,6,0.5198285732109474,4619,9305,1,141,1,33,1421,42,543,0
61757,110,1,1,1.2402251360613332,6591,484,0,234,0,9,940,41,596,1
47773,443,0,0,0.400848002853299,5025,4878,1,368,4,27,1001,34,743,0
15306,53,1,0,0.43694778272302903,4201,5511,1,204,3,39,1434,22,404,0
9885,25,0,4,0.4769296464580821,6250,313,2,426,0,36,1473,,1438,0
26825,25,2,6,0.6326050095396254,,,3,161,5,6,250,19,748,0
27686,80,1,1,0.29048261861099234,6469,2881,2,312,2,25,143,26,923,0
26363,22,0,3,3.176813972521798,5065,,5,304,0,30,632,35,159,0
40869,22,1,2,3.187794209729744,8966,3843,2,225,3,21,736,,1220,0
65432,53,1,1,3.1627986697468105,8103,,4,40,4,,1194,19,713,0
5998,25,2,5,0.49268998693141786,2186,2515,3,268,2,25,601,,857,0
34712,443,0,1,1.9229908859668188,561,6429,2,305,1,35,918,14,1395,0
19574,25,0,2,1.327697025731554,2533,631,3,308,0,8,646,,647,0
24357,22,1,3,3.855308630158145,8286,3502,1,442,1,43,741,35,404,1
37109,53,2,4,0.05844760591885434,3918,8694,0,48,0,12,951,21,1264,0
33518,110,0,6,5.863914022404604,,9082,0,480,2,49,151,45,296,0
